UTM10,ACCI GENT,ACCI NISU,Aecau,AEGO FUNE,AGAP FISH,AIX SPON,Alarv,Alruf,AMAN AMAN,Ancam,ANTH SPIN,Antri,APUS APUS,APUS PALL,AQUI CHRY,ARAT ACUT,ARAT ERYT,ARAT MITR,ASIO OTUS,ATHE NOCT,BUBO BUBO,BUBU IBIS,BURH OEDI,BUTE BUTE,CALA BRAC,CALA RUFE,CAPR EURO,CAPR RUFI,Caina,Cacar,Cachl,CARD SPIN,CERC GALA,Cebra,CERT FAMI,CETT CETT,CHER DUPO,CICO CICO,CIRC AERU,CIRC CYAN,CIRC GALL,CIRC PYGA,Cijun,CLAM GLAN,COCC COCC,COLU LIVI,COLU OENA,Colpa,CORA GARR,CORV CORA,CORV CORO,CORV MONE,Cocot,CREX CREX,Cucan,CYAN PATA,Demaj,DEND MEDI,DEND MINO,DRYO MART,ELAN CAER,Emcia,Emcir,Emcit,Emhor,Errub,ESTR ASTR,ESTR TROG,EUPL AFER,FALC NAUM,FALC PERE,FALC SUBB,FALC TINN,FICE HYPO,Frcoe,Gacri,Gathe,Gagla,GYPA BARB,GYPS FULV,HIER FASC,HIER PENN,Hipol,HIRU DAUR,HIRU RUST,JYNX TORQ,Lacol,Lamer,LANI MINO,Lasen,LEIO LUTE,LONC MALA,Locur,Luarb,Lumeg,Mecal,MERO APIA,Mical,MILV MIGR,MILV MILV,MONT NIVA,MONT SAXA,MONT SOLI,MOTA ALBA,MOTA FLAV,MUSC STRI,MYIO MONA,NEOP PERC,Oehis,OENA LEUC,Oeoen,ORIO ORIO,OTUS SCOP,PANU BIHA,Paate,Pacae,Pacri,Pamaj,PARU PALU,Padom,PASS HISP,Pamon,PERD PERD,PERN APIV,PETR PETR,PHAS COLC,Phoch,PHOE PHOE,Phbon,Phita,Pipic,Pivir,POIC SENE,PRUN COLL,Prmod,PSIT KRAM,PTER ALCH,PTER ORIE,PTYO RUPE,PYRR GRAC,PYRR PYRO,Pyula,QUEL QUEL,Reign,Rereg,REMI PEND,RIPA RIPA,SAXI RUBE,SCOL RUST,Secit,Seser,Sieur,Stdec,STRE ROSE,STRE TURT,STRI ALUC,STUR SP,STUR UNIC,Stvul,Syatr,SYLV BORI,Sycan,SYLV COMM,SYLV CONS,Syhor,Symel,Syund,TETR TETA,TETR UROG,THRE AETH,TICH MURA,Trtro,Tumer,TURD PHIL,Tutor,Tuvis,TYTO ALBA,Upepo
BE79,0,0,0.00,0,0,0,0.00,26.33,0,0.72,0,0.00,590.7866144,0,0,0,0,0,0,20,0,0,0,0,0,0,0,48.28047247,18.67,377.11,155.19,0,0,0.00,0,0,0,0,0,0,0,0,7.18,0,0,278.4895475,0,20.26,0,0,0,0,0.00,0,0.54,0,0.00,0,0,0,0,0.00,87.30,0.00,0.00,0.00,0,0,0,0,0,0,10.12173988,0,2.68,126.91,0.00,0.00,0,0,0,0,3.68,0,531.2865308,0,0.00,0.00,0,36.65,0,0,0.00,15.40,178.49,0.00,72.18692395,72.91,0,0,0,0,0,118.7456423,0,0,0,0,0.00,0,0.00,59.38087577,20,0,0.00,0.00,0.00,230.98,0,1807.56,0,110.16,0,0,0,0,0.00,0,0.00,0.00,60.69,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0.00,0,0,0,0,0.00,350.64,0.00,0.00,0,154.4664933,0,0,279.4275177,0.00,0.00,0,0.00,0,0,0.44,319.62,0.00,0,0,0,0,2.43,183.63,0,0.00,10.67,0,46.43
BE88,0,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0.00,590.7866144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,46.21,27.73,0,0,0.00,0,0,0,0,0,0,0,0,11.76,0,0,0,0,3.92,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,0,0,0,0,0,0,0,0.00,11.77,0.00,0.00,0,0,0,0,5.58,0,20,0,0.00,0.00,0,2.57,0,0,0.00,0.00,43.99,0.00,72.18692395,2.59,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,20,0,0,0.00,0.00,0.00,0.00,0,310.91,0,111.31,0,0,0,0,0.00,0,0.00,0.00,17.82,0.00,0,0,0.00,3,0,0,0,0,0,0.00,0,0.00,0.00,0,0,0,0,0.00,58.18,0.00,0.00,0,20,0,0,0,13.93,0.00,0,0.00,0,0,0.00,47.70,0.00,0,0,0,0,2.48,34.69,0,0.00,1.83,0,8.67
BE89,0,0,0.00,0,0,0,0.00,138.61,0,32.98,0,0.00,316.0696126,0,0,0,0,0,0,20,0,0,0,0,10.12056999,0,3,20,155.75,4729.25,1883.26,0,0,8.03,0,0,0,0,0,0,2.83541522,3.140721956,155.34,0,0,316.0696126,0,319.31,0,0,0,0,4.13,0,0.00,0,0.00,0,0,0,0,41.56,796.97,0.00,12.38,24.56,0,0,0,0,0,2.878732364,20,0,1.91,907.23,65.74,0.00,0,0,0,0,430.92,0,316.0696126,3,0.00,0.00,0,626.68,0,0,0.00,93.08,2320.08,0.00,20,491.28,0,0,0,0,20,0,3,20,0,0,244.61,0,0.00,20,3,0,0.00,0.00,0.00,2262.13,0,22646.65,0,2569.52,0,0,58.44102453,0,0.00,0,52.79,0.00,785.66,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0.00,0,0,0,0,0.00,4227.70,0.00,428.76,0,20,0,0,316.0696126,515.67,0.00,0,0.00,0,0,133.15,4243.35,0.00,0,0,0,0,275.34,2475.29,0,0.00,153.80,3,466.97
BE99,0,0,0.00,0,0,0,0.00,91.58,0,27.40,0,0.00,316.0696126,0,0,0,0,0,0,20,3,0,0,3,0,32.43500556,73.39730808,20,63.95,1914.19,774.01,0,0,38.90,0,0,0,0,0,0,3,0,57.85,0,0,316.0696126,0,69.66,0,3,0,0,0.00,0,0.00,0,0.00,0,0,0,0,61.36,204.06,0.00,8.25,16.66,0,0,0,0,3,0,3,0,0.00,296.51,28.66,0.00,0,0,0,0,178.42,0,531.2865308,20,0.00,0.00,0,191.48,0,0,0.00,18.30,453.77,0.00,316.0696126,124.88,0,0,0,0,3,0,0,3,22.35446761,0,84.18,3,0.00,20,20,0,0.00,0.00,0.00,1048.08,0,7977.30,0,568.63,0,0,0,0,2.10,0,67.49,0.00,266.12,0.00,0,0,0.00,0,0,0,20,0,0,0.00,0,0.00,0.00,0,0,0,0,0.00,1745.66,0.00,204.47,0,316.0696126,37.83230363,0,316.0696126,150.74,0.00,0,0.00,0,0,124.55,1767.36,0.00,0,0,0,0,220.81,1106.51,0,0.00,48.72,6.32455532,129.24
BF60,0,0,0.00,0,0,0,0.00,0.00,0,0.00,0,0.00,99.94998749,0,0,0,0,0,0,3,1,0,0,4.981287692,0,0,0,0,28.01,162.93,67.15,0,0,0.00,0,20,0,0,0,0,2.83541522,0,0.95,0,0,99.94998749,0,3.72,0,6.184859059,0,0,0.00,0,0.00,0,0.00,0,0,0,0,4.27,30.46,0.00,0.00,0.00,0,0,0,0,0,0,3,0,0.00,12.13,0.00,0.00,0,0,0,1,7.02,0,99.94998749,20,0.00,0.00,0,10.49,0,0,0.00,5.84,53.63,0.00,72.18692395,9.12,0,0,0,1,2,20,0,20,0,0,2.27,5.991640267,0.00,6.32455532,3,0,0.00,0.00,0.00,104.62,0,703.64,0,3.45,0,0,0,0,0.00,0,0.00,0.00,1.16,0.00,0,0,0.00,0,0,0,3,0,0,0.00,0,0.00,0.00,0,0,0,0,0.00,129.64,0.00,0.00,0,0,0,0,99.94998749,0.00,0.00,3,0.00,3,0,1.20,160.36,0.00,0,0,0,0,8.92,115.16,0,0.00,2.08,0,4.37
BF61,3,3,1167.01,0,0,0,6.37,0.00,0,15.15,0,0.00,99.94998749,0,1.414213562,0,0,0,1,0,0,0,0,0,0,0,3,0,159.42,176.08,0.00,0,0,329.05,0,0,0,0,0,0,1,0,0.00,0,0,0,6.32455532,400.75,0,3,20,0,0.00,0,15.40,0,14.49,0,0,0,0,899.47,5.82,0.00,1.97,2787.10,0,0,0,0,1,0,3,0,944.96,0.00,0.00,315.92,0,2,0,1,0.00,0,0,20,0.00,0.00,0,0.54,0,0,317.40,291.86,0.00,0.00,0,66.21,0,0,0,0,2,0,0,3,0,0,0.56,1,21.88,0,0,0,2727.98,236.88,814.51,1778.79,0,0.00,0,0.00,0,0,0,0,41.92,0,230.35,0.00,0.00,0.00,0,0,0.00,0,0,0,99.94998749,0,20,0.77,0,1570.82,14.40,0,0,0,0,0.00,1007.53,0.00,0.00,0,0,20,0,0,0.00,38.63,3,0.00,0,0,2.49,704.88,31.79,0,0,0,0,1432.09,1909.75,3,0.00,144.59,0,0.00
BF62,3,3,161.09,0,0,0,0.00,0.00,0,1.86,0,0.00,590.7866144,0,2,0,0,0,0,0,3.464101615,0,0,3,0,0,0,20,73.01,147.38,0.00,0,0,114.00,0,0,0,0,0,0,1.414213562,0,0.00,0,0,278.4895475,0,82.95,0,3,3,0,0.00,0,1.80,0,0.00,0,0,0,0,209.67,68.96,0.00,0.51,479.40,0,0,0,0,3,0,4,0,167.20,2.40,0.00,74.72,0,20,1,1,21.49,0,531.2865308,0,0.00,0.00,0,8.70,0,0,0.00,41.88,188.27,0.00,3,13.19,3.718489007,0,0,7.108617267,3,118.7456423,0,0,0,3,0.01,0,0.00,59.38087577,20.09302478,0,253.39,72.47,198.45,336.29,0,0.00,0,0.00,0,0,58.44102453,0,5.27,0,78.65,0.00,0.00,0.00,0,0,0.00,0,0,0,65.4927168,0,20,0.00,0,336.72,0.00,0,0,0,0,0.00,362.21,0.00,0.00,0,154.4664933,3,0,279.4275177,0.00,18.13,0,0.00,25.87805688,0,4.36,407.31,0.00,0,0,0,0,220.97,358.96,0,0.00,35.67,0,0.00
BF63,0,5.840580155,19.92,0,0,0,2.62,6.03,0,2.30,0,0.00,590.7866144,0,0,0,0,0,0,32.35282205,0,0,0,0,0,0,0,0,69.29,271.60,56.66,0,0,57.50,0,0,0,0,0,0,2.83541522,0,0.00,0,0,0,0,56.38,0,0,0,0,0.72,0,0.60,0,0.00,0,0,0,0,26.95,91.47,0.00,0.00,108.90,0,0,0,0,0,0,0,0,70.63,55.85,0.00,18.06,0,0,0,0,29.78,0,0,0,0.00,0.00,0,21.00,0,0,0.00,42.45,236.79,0.00,72.18692395,50.15,0,0,0,0,0,0,0,0,0,0,0.25,0,0.00,59.38087577,20.09302478,0,0.00,11.81,17.20,213.71,0,546.00,0,1.49,0,0,58.44102453,0,0.00,0,40.07,0.00,30.64,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0,51.99,0.00,0,0,0,0,0.00,262.03,0.00,0.00,0,154.4664933,37.83230363,0,0,0.00,0.00,0,0.00,0,0,8.54,272.67,0.00,0,0,0,0,26.47,195.51,0,0.00,42.02,0,19.80
BF64,0,0,41.94,0,0,0,0.00,0.00,0,0.00,0,0.00,590.7866144,0,0,0,0,0,0,32.35282205,0,0,0,4.981287692,10.12056999,0,0,48.28047247,311.92,564.72,219.35,0,0,33.52,0,69.67297166,0,0,0,0,2.83541522,0,0.00,0,0,278.4895475,26.69030188,118.11,0,0,14.14468365,0,0.00,0,5.26,0,0.00,0,0,0,0,3.73,167.17,0.00,0.00,41.41,0,0,0,0,0,0,10.12173988,0,0.00,130.73,0.00,52.11,0,12.29725579,0,0,51.55,0,531.2865308,16.38452182,0.00,0.00,0,53.24,0,0,0.00,78.00,329.57,0.00,72.18692395,55.97,0,0,0,0,18.42932446,118.7456423,0,0,0,0,110.14,5.991640267,0.00,59.38087577,0,0,0.00,105.58,22.47,380.31,0,1416.91,0,9.29,0,0,0,0,0.00,0,60.34,0.00,11.10,0.00,0,0,0.00,0,0,0,65.4927168,0,0,0.00,0,12.54,0.00,0,0,0,0,0.00,491.64,0.00,0.00,0,154.4664933,37.83230363,0,279.4275177,0.00,0.00,0,0.00,0,0,20.18,514.29,0.00,0,0,0,0,42.16,337.61,0,0.00,54.91,0,60.26
BF65,0,0,150.47,0,0,0,0.00,0.00,0,0.32,0,0.00,20,0,0,0,0,0,0,2.449489743,1.414213562,0,0,4.981287692,0,0,0,20,930.35,1780.87,704.87,0,0,84.90,0,20,0,0,0,0,0,0,0.00,0,0,20,20,421.40,0,0,2.449489743,0,0.00,0,23.76,0,0.00,0,0,0,0,11.49,500.66,0.00,0.00,181.83,0,0,0,0,0,0,10.12173988,0,2.01,331.79,0.00,229.25,0,0,0,0,134.67,1.414213562,20,0,0.00,0.97,0,138.03,0,0,0.00,226.79,757.35,0.00,20,211.51,1.414213562,0,0,0,20,20,0,0,0,0,343.48,8.485281374,0.00,20,0,0,0.00,10.76,254.89,1192.02,0,1373.79,0,13.85,0,0,20,0,0.00,0,126.71,0.00,3.91,0.00,0,0,0.00,0,0,0,3.872983346,0,0,0.00,0,41.03,0.00,0,0,0,0,0.00,1478.86,0.00,0.00,0,20,0,0,20,0.00,0.00,0,0.00,0,0,32.94,1678.93,77.70,0,0,0,0,112.53,1117.00,0,0.00,129.85,0,180.48
