Utm10,X_coord,Y_coord
CH04,305000,4745000
CH14,315000,4745000
CH24,325000,4745000
CH34,335000,4745000
CH03,305000,4735000
CH13,315000,4735000
CH23,325000,4735000
CH33,335000,4735000
CH43,345000,4735000
CH53,355000,4735000
CH63,365000,4735000
CH02,305000,4725000
CH12,315000,4725000
CH22,325000,4725000
CH32,335000,4725000
CH42,345000,4725000
CH52,355000,4725000
CH62,365000,4725000
CH72,375000,4725000
CH11,315000,4715000
CH21,325000,4715000
CH31,335000,4715000
CH41,345000,4715000
CH51,355000,4715000
CH61,365000,4715000
CH71,375000,4715000
CH10,315000,4705000
CH20,325000,4705000
CH30,335000,4705000
CH40,345000,4705000
CH50,355000,4705000
CH60,365000,4705000
CH70,375000,4705000
CH80,385000,4705000
CH90,395000,4705000
DH00,405000,4705000
DH10,415000,4705000
DH80,485000,4705000
DH90,495000,4705000
EH00,505000,4705000
CG19,315000,4695000
CG29,325000,4695000
CG39,335000,4695000
CG49,345000,4695000
CG59,355000,4695000
CG69,365000,4695000
CG79,375000,4695000
CG89,385000,4695000
CG99,395000,4695000
DG09,405000,4695000
DG19,415000,4695000
DG29,425000,4695000
DG39,435000,4695000
DG49,445000,4695000
DG59,455000,4695000
DG79,475000,4695000
DG89,485000,4695000
DG99,495000,4695000
EG09,505000,4695000
EG19,515000,4695000
CG18,315000,4685000
CG28,325000,4685000
CG38,335000,4685000
CG48,345000,4685000
CG58,355000,4685000
CG68,365000,4685000
CG78,375000,4685000
CG88,385000,4685000
CG98,395000,4685000
DG08,405000,4685000
DG18,415000,4685000
DG28,425000,4685000
DG38,435000,4685000
DG48,445000,4685000
DG58,455000,4685000
DG68,465000,4685000
DG78,475000,4685000
DG88,485000,4685000
DG98,495000,4685000
EG08,505000,4685000
EG18,515000,4685000
EG28,525000,4685000
CG07,305000,4675000
CG17,315000,4675000
CG27,325000,4675000
CG37,335000,4675000
CG47,345000,4675000
CG57,355000,4675000
CG67,365000,4675000
CG77,375000,4675000
CG87,385000,4675000
CG97,395000,4675000
DG07,405000,4675000
DG17,415000,4675000
DG27,425000,4675000
DG37,435000,4675000
DG47,445000,4675000
DG57,455000,4675000
DG67,465000,4675000
DG77,475000,4675000
DG87,485000,4675000
DG97,495000,4675000
EG07,505000,4675000
EG17,515000,4675000
EG27,525000,4675000
CG06,305000,4665000
CG16,315000,4665000
CG26,325000,4665000
CG36,335000,4665000
CG46,345000,4665000
CG56,355000,4665000
CG66,365000,4665000
CG76,375000,4665000
CG86,385000,4665000
CG96,395000,4665000
DG06,405000,4665000
DG16,415000,4665000
DG26,425000,4665000
DG36,435000,4665000
DG46,445000,4665000
DG56,455000,4665000
DG66,465000,4665000
DG76,475000,4665000
DG86,485000,4665000
DG96,495000,4665000
EG06,505000,4665000
EG16,515000,4665000
CG05,305000,4655000
CG15,315000,4655000
CG25,325000,4655000
CG35,335000,4655000
CG45,345000,4655000
CG55,355000,4655000
CG65,365000,4655000
CG75,375000,4655000
CG85,385000,4655000
CG95,395000,4655000
DG05,405000,4655000
DG15,415000,4655000
DG25,425000,4655000
DG35,435000,4655000
DG45,445000,4655000
DG55,455000,4655000
DG65,465000,4655000
DG75,475000,4655000
DG85,485000,4655000
DG95,495000,4655000
EG05,505000,4655000
EG15,515000,4655000
BG94,295000,4645000
CG04,305000,4645000
CG14,315000,4645000
CG24,325000,4645000
CG34,335000,4645000
CG44,345000,4645000
CG54,355000,4645000
CG64,365000,4645000
CG74,375000,4645000
CG84,385000,4645000
CG94,395000,4645000
DG04,405000,4645000
DG14,415000,4645000
DG24,425000,4645000
DG34,435000,4645000
DG44,445000,4645000
DG54,455000,4645000
DG64,465000,4645000
DG74,475000,4645000
DG84,485000,4645000
DG94,495000,4645000
EG04,505000,4645000
EG14,515000,4645000
BG93,295000,4635000
CG03,305000,4635000
CG13,315000,4635000
CG23,325000,4635000
CG33,335000,4635000
CG43,345000,4635000
CG53,355000,4635000
CG63,365000,4635000
CG73,375000,4635000
CG83,385000,4635000
CG93,395000,4635000
DG03,405000,4635000
DG13,415000,4635000
DG23,425000,4635000
DG33,435000,4635000
DG43,445000,4635000
DG53,455000,4635000
DG63,465000,4635000
DG73,475000,4635000
DG83,485000,4635000
DG93,495000,4635000
EG03,505000,4635000
EG13,515000,4635000
BG72,275000,4625000
BG82,285000,4625000
BG92,295000,4625000
CG02,305000,4625000
CG12,315000,4625000
CG22,325000,4625000
CG32,335000,4625000
CG42,345000,4625000
CG52,355000,4625000
CG62,365000,4625000
CG72,375000,4625000
CG82,385000,4625000
CG92,395000,4625000
DG02,405000,4625000
DG12,415000,4625000
DG22,425000,4625000
DG32,435000,4625000
DG42,445000,4625000
DG52,455000,4625000
DG62,465000,4625000
DG72,475000,4625000
DG82,485000,4625000
DG92,495000,4625000
EG02,505000,4625000
BG71,275000,4615000
BG81,285000,4615000
BG91,295000,4615000
CG01,305000,4615000
CG11,315000,4615000
CG21,325000,4615000
CG31,335000,4615000
CG41,345000,4615000
CG51,355000,4615000
CG61,365000,4615000
CG71,375000,4615000
CG81,385000,4615000
CG91,395000,4615000
DG01,405000,4615000
DG11,415000,4615000
DG21,425000,4615000
DG31,435000,4615000
DG41,445000,4615000
DG51,455000,4615000
DG61,465000,4615000
DG71,475000,4615000
DG81,485000,4615000
DG91,495000,4615000
BG70,275000,4605000
BG80,285000,4605000
BG90,295000,4605000
CG00,305000,4605000
CG10,315000,4605000
CG20,325000,4605000
CG30,335000,4605000
CG40,345000,4605000
CG50,355000,4605000
CG60,365000,4605000
CG70,375000,4605000
CG80,385000,4605000
CG90,395000,4605000
