analysis_id,analysis_display_order,dataset_id,analysis_role,adjustment_scenario,model_family,candidate_display_order,prediction_index,delta,delta_unit,fitted_mean_response,response_name,response_unit,fixed_mean_foliage_height_ft,fixed_mean_elevation_m,fixed_mean_elevation_squared_m2,confidence_interval_included,confidence_interval_type,confidence_level,confidence_lower,confidence_upper
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,1,0.11754936162377437,ft,1.4648029952633641,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,2,0.26005012209260492,ft,1.4711746654434761,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,3,0.40255088256143551,ft,1.4775463356235881,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,4,0.5450516430302661,ft,1.4839180058037003,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,5,0.68755240349909663,ft,1.4902896759838122,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,6,0.83005316396792717,ft,1.4966613461639242,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,7,0.97255392443675781,ft,1.5030330163440364,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,8,1.1150546849055882,ft,1.5094046865241484,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,9,1.2575554453744189,ft,1.5157763567042604,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,10,1.4000562058432495,ft,1.5221480268843726,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,11,1.5425569663120799,ft,1.5285196970644845,natural-log Shannon bird diversity,dimensionless,NA,NA,NA,FALSE,NA,NA,NA,NA
