analysis_id,analysis_display_order,dataset_id,analysis_role,adjustment_scenario,model_family,candidate_display_order,formula,n,k,information_criterion,information_criterion_value,delta_ic,akaike_weight,rank,best_by_ic,predictor_min,predictor_max,quadratic_vertex,quadratic_vertex_inside_observed_range,quadratic_high_side_declines,shape_supported_by_coefficients,shape_support_with_uncertainty,shape_interpretation
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,y ~ x,13,3,AICc,23.284205198682443,4.0940466702011342,0.099710287991877089,3,FALSE,0.11754936162377437,28.475200694921053,NA,NA,NA,TRUE,positive_monotonic_supported_by_coefficient_CI,positive_monotonic
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,logarithmic,2,y ~ logx,13,3,AICc,19.190158528481309,0,0.77223753940909323,1,TRUE,0.11754936162377437,28.475200694921053,NA,NA,NA,TRUE,positive_diminishing_return_supported_by_coefficient_CI,positive_diminishing_return
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,quadratic,3,y ~ x + I(x^2),13,4,AICc,22.783867362337432,3.5937088338561232,0.12805217259902968,2,FALSE,0.11754936162377437,28.475200694921053,20.138563707152908,TRUE,TRUE,FALSE,IC_selected_quadratic_shape_but_coefficient_or_geometry_uncertain,unimodal_in_observed_range
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,linear,1,y ~ mu + x,13,4,AICc,27.11691786427599,3.5994798706079294,0.13141987884025155,2,FALSE,0.11754936162377437,28.475200694921053,NA,NA,NA,TRUE,positive_monotonic_supported_by_coefficient_CI,positive_monotonic
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,logarithmic,2,y ~ mu + logx,13,4,AICc,23.517437993668061,0,0.79483720082315557,1,TRUE,0.11754936162377437,28.475200694921053,NA,NA,NA,TRUE,positive_diminishing_return_supported_by_coefficient_CI,positive_diminishing_return
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,quadratic,3,y ~ mu + x + I(x^2),13,5,AICc,28.272542633006942,4.7551046393388816,0.073742920336592882,3,FALSE,0.11754936162377437,28.475200694921053,20.072513288073747,TRUE,TRUE,FALSE,IC_selected_quadratic_shape_but_coefficient_or_geometry_uncertain,unimodal_in_observed_range
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,linear,1,y ~ x,285,3,AIC,2086.0078999444891,9.5399828147646986,0.0081270002199034536,3,FALSE,0.64051445445055877,145.09852049561766,NA,NA,NA,TRUE,positive_monotonic_supported_by_coefficient_CI,positive_monotonic
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,logarithmic,2,y ~ logx,285,3,AIC,2076.4679171297244,0,0.95832147081985575,1,TRUE,0.64051445445055877,145.09852049561766,NA,NA,NA,TRUE,positive_diminishing_return_supported_by_coefficient_CI,positive_diminishing_return
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,quadratic,3,y ~ x + I(x^2),285,4,AIC,2083.1721188322185,6.7042017024941742,0.033551528960240759,2,FALSE,0.64051445445055877,145.09852049561766,111.82035942082308,TRUE,TRUE,TRUE,unimodal_supported_by_coefficients_CI_and_geometry,unimodal_in_observed_range
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,linear,1,y ~ mu + x,285,4,AIC,2063.5466735846508,6.3792361059868199,0.038340202745322204,2,FALSE,0.64051445445055877,145.09852049561766,NA,NA,NA,TRUE,positive_monotonic_supported_by_coefficient_CI,positive_monotonic
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,logarithmic,2,y ~ mu + logx,285,4,AIC,2057.1674374786639,0,0.93086762252357225,1,TRUE,0.64051445445055877,145.09852049561766,NA,NA,NA,TRUE,positive_diminishing_return_supported_by_coefficient_CI,positive_diminishing_return
Topography_delta_mean_elevation_linear_gaussian,4,allouche_2012,sensitivity,mean_elevation_linear,quadratic,3,y ~ mu + x + I(x^2),285,5,AIC,2063.9851504549811,6.8177129763171251,0.030792174731105619,3,FALSE,0.64051445445055877,145.09852049561766,132.00805997511395,TRUE,TRUE,FALSE,IC_selected_quadratic_shape_but_coefficient_or_geometry_uncertain,unimodal_in_observed_range
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,linear,1,y ~ mu + mu2 + x,285,5,AIC,2014.8120660091481,6.8609351719312599,0.029746691963724838,3,FALSE,0.64051445445055877,145.09852049561766,NA,NA,NA,TRUE,positive_monotonic_supported_by_coefficient_CI,positive_monotonic
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,logarithmic,2,y ~ mu + mu2 + logx,285,5,AIC,2007.9511308372169,0,0.91890754858427803,1,TRUE,0.64051445445055877,145.09852049561766,NA,NA,NA,TRUE,positive_diminishing_return_supported_by_coefficient_CI,positive_diminishing_return
Topography_delta_mean_elevation_quadratic_gaussian,5,allouche_2012,sensitivity,mean_elevation_quadratic,quadratic,3,y ~ mu + mu2 + x + I(x^2),285,6,AIC,2013.7203371683756,5.7692063311587845,0.051345759451997021,2,FALSE,0.64051445445055877,145.09852049561766,115.94417900844013,TRUE,TRUE,FALSE,IC_selected_quadratic_shape_but_coefficient_or_geometry_uncertain,unimodal_in_observed_range
