analysis_id,analysis_display_order,dataset_id,analysis_role,adjustment_scenario,model_family,candidate_display_order,formula,term_order,term,term_role,estimate,std_error,statistic,p_value,conf_low,conf_high
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,y ~ x,1,(Intercept),intercept,1.4595469828765864,0.20618359744704867,7.0788704870251475,2.0484177704087199e-5,1.005739944641324,1.9133540211118487
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,linear,1,y ~ x,2,x,heterogeneity_linear_term,0.044713236330452717,0.01499692864029718,2.9814929045075913,0.012486142380949158,0.011705218946205347,0.077721253714700095
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,logarithmic,2,y ~ logx,1,(Intercept),intercept,1.4108365187487624,0.17112664160604246,8.2444002027265046,4.9011945141647979e-6,1.0341893200775425,1.7874837174199822
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,logarithmic,2,y ~ logx,2,logx,heterogeneity_logarithmic_term,0.29915677939735491,0.074208238728866921,4.0313149122212391,0.001977555754046287,0.1358255471985812,0.46248801159612862
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,quadratic,3,y ~ x + I(x^2),1,(Intercept),intercept,1.10107877927538,0.24652325546951967,4.4664296566192245,0.0012040672213919088,0.55179073584560567,1.6503668227051542
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,quadratic,3,y ~ x + I(x^2),2,x,heterogeneity_quadratic_linear_term,0.13810832113438323,0.045905716184951956,3.0085212172260061,0.013150792678551289,0.035824011374436693,0.24039263089432977
Foliage_delta_unadjusted_gaussian,1,macarthur_1961,primary,unadjusted,quadratic,3,y ~ x + I(x^2),3,I(x^2),heterogeneity_quadratic_squared_term,-0.0034289516159816623,0.0016157535460784426,-2.1221996537182233,0.059801728977788612,-0.0070290748672336336,0.00017117163527030936
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,linear,1,y ~ mu + x,1,(Intercept),intercept,1.37975534942295,0.24741238907446375,5.5767431638505567,0.00023517027658836038,0.82848619286339309,1.9310245059825069
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,linear,1,y ~ mu + x,2,mu,covariate_or_other_term,0.0061143263627576449,0.0097582377532804583,0.62658099928977151,0.54497134723729512,-0.015628382302245787,0.02785703502776108
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,linear,1,y ~ mu + x,3,x,heterogeneity_linear_term,0.039816202643887112,0.017295502546861487,2.3021130803228567,0.044095452638937792,0.0012794214545974875,0.078352983833176737
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,logarithmic,2,y ~ mu + logx,1,(Intercept),intercept,1.4035721546227984,0.20863149180577295,6.72751818277494,5.1844713971888623e-5,0.93871222198249993,1.8684320872630968
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,logarithmic,2,y ~ mu + logx,2,mu,covariate_or_other_term,0.00061616143677887647,0.0090281579481846074,0.068248854341629556,0.94693291130504809,-0.019499828049439921,0.020732150922997676
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,logarithmic,2,y ~ mu + logx,3,logx,heterogeneity_logarithmic_term,0.29572035913194222,0.092682170276222983,3.1906930777581004,0.0096427971605385077,0.089211614653082416,0.50222910361080197
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,quadratic,3,y ~ mu + x + I(x^2),1,(Intercept),intercept,1.0833656582087914,0.26936404361640198,4.0219386509938166,0.0030092640471496008,0.4740218575416596,1.6927094588759233
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,quadratic,3,y ~ mu + x + I(x^2),2,mu,covariate_or_other_term,0.0021398565559036182,0.0089258773171087599,0.23973627240002815,0.81590558934513113,-0.01805188075125199,0.022331593863059225
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,quadratic,3,y ~ mu + x + I(x^2),3,x,heterogeneity_quadratic_linear_term,0.13373388530583666,0.051571053311154462,2.593196700849834,0.029060698306002306,0.017072057664960491,0.25039571294671281
Foliage_delta_mean_foliage_height_gaussian,2,macarthur_1961,sensitivity,mean_foliage_height,quadratic,3,y ~ mu + x + I(x^2),4,I(x^2),heterogeneity_quadratic_squared_term,-0.0033312690689634708,0.0017459521019155429,-1.9079956805851794,0.088745793827690059,-0.0072808871222142984,0.00061834898428735682
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,linear,1,y ~ x,1,(Intercept),intercept,75.883764390721154,0.88293536920734095,85.944868715414728,8.2574861711113412e-205,74.145810370414409,77.621718411027899
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,linear,1,y ~ x,2,x,heterogeneity_linear_term,0.10763289192643277,0.01681024473901423,6.4028152830298692,6.3244488599504791e-10,0.074543910053684326,0.14072187379918122
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,logarithmic,2,y ~ logx,1,(Intercept),intercept,67.578473308479644,1.8444894518195114,36.638037285502669,1.9762314162592957e-109,63.947813613556576,71.209133003402712
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,logarithmic,2,y ~ logx,2,logx,heterogeneity_logarithmic_term,3.8430027430303682,0.53280092261750478,7.2128304961461964,5.0296223705133201e-12,2.7942470381620232,4.8917584478987131
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,quadratic,3,y ~ x + I(x^2),1,(Intercept),intercept,73.925759940234727,1.250450806179586,59.119286880301097,6.2964484088668905e-161,71.464357692359769,76.387162188109684
Topography_delta_no_mean_covariates_gaussian,3,allouche_2012,primary,no_mean_covariates,quadratic,3,y ~ x + I(x^2),2,x,heterogeneity_quadratic_linear_term,0.22246395757570489,0.054875339774576384,4.0539877928696111,6.5189922865702777e-5,0.1144466857193934,0.33048122943201641
